Position,Ratio
698,1.4975124378109452
730,1.4975124378109452
755,1.4975124378109452
67663,1.0
67673,1.0
78519,101.0
111864,101.0
117328,301.0
117329,301.0
117331,301.0
185252,1.4975124378109452
185253,1.4975124378109452
185254,1.4975124378109452
198747,101.0
237838,0.1680532445923461
352401,0.5024875621890548
377120,0.5024875621890548
380409,1.0
392899,1.0
417956,301.0
421839,301.0
422177,301.0
926694,101.0
1153526,1.0
1194025,1.9900990099009899
1194029,1.9900990099009899
1228908,1.0
1247032,0.5012468827930174
1248250,0.5012468827930174
1291664,200.99999999999997
1299204,200.99999999999997
1393031,1.0
1407245,0.5024875621890548
1432196,101.0
1488402,101.0
1490429,200.99999999999997
1490431,200.99999999999997
1504004,0.14407988587731813
1637908,0.5024875621890548
1688024,101.0
1735684,1.0
1819235,0.3355481727574751
2002182,301.0
2004509,301.0
2004519,301.0
2015253,1.0
2043229,1.0
2050605,1.0
2050611,1.0
2050623,1.0
2080758,200.99999999999997
2082882,200.99999999999997
2191573,101.0
2289147,101.0
2337145,0.2518703241895262
2367085,1.0
2430022,101.0
2586806,1.0
2694377,0.5024875621890548
2721393,101.0
2757115,301.0
2757149,301.0
2757164,301.0
2845346,3.9702970297029703
2853382,3.9702970297029703
2853391,3.9702970297029703
2855156,3.9702970297029703
3046805,101.0
3094635,101.0
3106921,1.0
3178150,101.0
3192801,101.0
3250267,1.9900990099009899
3250963,1.9900990099009899
3328428,101.0
3399014,0.5024875621890548
3484321,0.3355481727574751
3622365,0.5024875621890548
3645500,101.0
3681272,1.0
3728653,1.9900990099009899
3742661,1.9900990099009899
3754973,101.0
3764716,101.0
3780409,1.0
3792288,1.0
3811340,0.5024875621890548
3837854,101.0
3844293,101.0
3894453,301.0
3894472,301.0
3900876,301.0
4003421,0.6677740863787375
4006549,0.6677740863787375
4057274,0.6677740863787375
4057288,0.6677740863787375
4153078,0.5024875621890548
4211155,0.3355481727574751
4298288,101.0
4317363,0.20159680638722555
4345586,0.20159680638722555
4359122,1.0
4359180,1.0
4536769,0.5012468827930174
4548213,0.5012468827930174
4611805,1.0
4669574,1.4975124378109452
4673393,1.4975124378109452
4677969,1.4975124378109452
4830455,0.3355481727574751
5351629,0.5024875621890548
5365416,101.0
5383195,1.9900990099009899
5393506,1.9900990099009899
5394193,1.9900990099009899
5394917,1.9900990099009899
5554934,101.0
5642141,101.0
5663445,2.98019801980198
5663453,2.98019801980198
5663455,2.98019801980198
5673857,1.9900990099009899
5673859,1.9900990099009899
6017454,101.0
6160553,2.98019801980198
6161952,2.98019801980198
6167716,2.98019801980198
6172636,301.0
6172643,301.0
6172644,301.0
6237892,101.0
6258395,1.0
6274093,101.0
6314937,1.0
6489966,1.0
6588248,0.20159680638722555
6687729,101.0
6732083,101.0
6745572,1.9900990099009899
6747592,1.9900990099009899
6756624,2.98019801980198
6756627,2.98019801980198
6756630,2.98019801980198
6778449,1.0
6782444,1.0
6783276,1.0
6807764,101.0
6853061,200.99999999999997
6853067,200.99999999999997
6910660,101.0
7002556,1.0
7004425,1.0
7005545,1.0
7005547,1.0
7036074,200.99999999999997
7040044,200.99999999999997
7071597,101.0
7120781,1.0
7146362,1.0
7171342,0.3355481727574751
7178881,1.0
7237987,101.0
7441582,0.5024875621890548
7452562,0.5024875621890548
7492357,1.9950248756218907
7492411,1.9950248756218907
7492452,1.9950248756218907
7494351,1.9950248756218907
7512877,101.0
7527313,1.0
7635401,200.99999999999997
7635410,200.99999999999997
7647464,0.6677740863787375
7647472,0.6677740863787375
7651908,0.3355481727574751
7665129,1.0
7747646,0.20159680638722555
7842518,0.5024875621890548
7896613,301.0
7900432,301.0
7900433,301.0
7923114,0.5024875621890548
7929066,101.0
8009431,101.0
8012984,1.0
8168557,1.0
8171221,1.0
8171234,1.0
8187266,0.3355481727574751
8226034,0.3355481727574751
8236625,1.0
8241280,1.0
8242093,1.0
8272593,1.0
8283342,101.0
8329039,0.6677740863787375
8329041,0.6677740863787375
8344101,200.99999999999997
8349684,200.99999999999997
8365085,0.250936329588015
8365094,0.250936329588015
8409292,1.0
8415419,301.0
8415420,301.0
8417036,301.0
8436367,1.0
8481658,1.0
8519518,1.0
8533639,0.5024875621890548
8644301,101.0
8675449,0.5024875621890548
8707952,3.9702970297029703
8707966,3.9702970297029703
8710877,3.9702970297029703
8716446,3.9702970297029703
8718269,301.0
8718271,301.0
8723778,301.0
8856339,101.0
8936541,101.0
8999071,0.2867332382310984
8999079,0.2867332382310984
9061934,101.0
9079249,1.0
9220470,0.2518703241895262
9236198,101.0
9417156,0.6677740863787375
9419577,0.6677740863787375
9463438,0.5024875621890548
9478078,0.2518703241895262
9547020,1.0
9576585,1.0
9586783,101.0
9658048,1.0
9697184,0.5024875621890548
9714676,101.0
9726075,1.0
9787495,1.0
9791362,0.40119760479041916
9800297,0.40119760479041916
9914443,0.3355481727574751
9938657,0.2867332382310984
9950527,0.2867332382310984
10062941,0.5024875621890548
10119527,0.3355481727574751
10173854,101.0
10183575,101.0
10239206,101.0
10276906,0.5024875621890548
10301065,101.0
10340413,0.20159680638722555
10472047,101.0
10506229,101.0
10551301,101.0
10592767,1.0
10618147,200.99999999999997
10618160,200.99999999999997
10650425,101.0
10662340,2.98019801980198
10662805,2.98019801980198
10666147,2.98019801980198
10777645,101.0
10827031,2.98019801980198
10828188,2.98019801980198
10832471,2.98019801980198
10921079,0.5024875621890548
10951985,200.99999999999997
10956328,200.99999999999997
10970069,1.9900990099009899
10980372,1.9900990099009899
10986310,0.20159680638722555
11006367,1.9900990099009899
11013485,1.9900990099009899
11027155,0.5024875621890548
11060907,1.0
11073033,2.98019801980198
11084940,2.98019801980198
11084943,2.98019801980198
11087370,1.0
11091945,1.0
11130072,0.8003992015968063
11130073,0.8003992015968063
11130074,0.8003992015968063
11135100,0.8003992015968063
11179306,0.5024875621890548
11201336,1.0
11202793,1.0
11203171,1.0
11203893,1.0
11219772,0.2518703241895262
11233552,0.6672212978369384
11234662,0.6672212978369384
11235878,0.6672212978369384
11240911,0.6672212978369384
11257133,101.0
11264373,1.0
11289574,0.2867332382310984
11289577,0.2867332382310984
11294759,1.9950248756218907
11297004,1.9950248756218907
11299920,1.9950248756218907
11299929,1.9950248756218907
11319801,0.8003992015968063
11319808,0.8003992015968063
11320978,0.8003992015968063
11320980,0.8003992015968063
11351930,0.5024875621890548
12035345,0.1255465334166146
